export_file,archive_file,confidence,flags
1-3.jpg,1-4.jpg,HIGH,""
1-4.jpg,1-5.jpg,HIGH,""
1.jpg,1-2.jpg,HIGH,""
2.jpg,2-4.jpg,HIGH,""
2-2.jpg,2-3.jpg,HIGH,""
2-3.jpg,2-2.jpg,HIGH,""
3.jpg,3-2.jpg,HIGH,""
4.jpg,4-2.jpg,HIGH,""
5.jpg,5.jpg,HIGH,""
6.jpg,6.jpg,HIGH,""
7.jpg,7.jpg,HIGH,""
8.jpg,8.jpg,HIGH,""
9.jpg,9.jpg,HIGH,""
10.jpg,10.jpg,HIGH,""
11(1).jpg,11(1).jpg,HIGH,""
12.jpg,12.jpg,HIGH,""
13.jpg,13.jpg,HIGH,""
14.jpg,14.jpg,HIGH,""
Image 1.jpg,Image 1-2.jpg,HIGH,""
Image 1-2.jpg,Image 1.jpg,HIGH,""
Image 1.tif,Image 1-3.jpg,HIGH,""
Image 2.jpg,Image 2.jpg,HIGH,""
Image 2-2.jpg,Image 2-2.jpg,HIGH,""
Image 3.jpg,Image 3.jpg,HIGH,""
Image 4.jpg,Image 4.jpg,HIGH,""
Image 5.jpg,Image 5.jpg,HIGH,""
